#Controller/Action/Helper/Eventdocuments.php
"Are you sure that you want to publish this event document ?";"Are you sure that you want to publish this event document ?"
"Publish";"Publish"

#views/scripts/index/view.tpl
" rating";" rating"
"Thank you for rating to this document!";"Thank you for rating to this document!"
"%s rating";"%s rating";"%s ratings"
"you have already rated this document";"you have already rated this document"
"Only logged-in user can rate";"Only logged-in user can rate"
"Please click to rate";"Please click to rate"
"Back to Event Documents";"Back to Event Documents"
"Publish Document";"Publish Document"
"Edit Document";"Edit Document"
"Delete Document";"Delete Document"
"'s Documents";"'s Documents"
"More &raquo;";"More &raquo;"
"%s Comment";"%s Comment";"%s Comments"
"%s Like";"%s Like";"%s Likes"
"%s View";"%s View";"%s Views"
"Created by %s %s";"Created by %s %s"
"click to rate";"click to rate"
"Document format conversion in progress.";"Document format conversion in progress."
"This document has been deleted at Scribd. Please ";"This document has been deleted at Scribd. Please "
" this document or ";" this document or "
" it to upload a new file.";" it to upload a new file."
"This document has been deleted at Scribd";"This document has been deleted at Scribd"
"Format conversion for this document failed. Please ";"Format conversion for this document failed. Please "
"Format conversion for this document failed.";"Format conversion for this document failed."
"This work is licensed under a ";"This work is licensed under a "
"Creative Commons Attribution-Noncommercial 3.0 Unported License.";"Creative Commons Attribution-Noncommercial 3.0 Unported License."
"Creative Commons Attribution-Noncommercial-No Derivative Works 3.0 Unported License.";"Creative Commons Attribution-Noncommercial-No Derivative Works 3.0 Unported License."
"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported License.";"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported License."
"Creative Commons Attribution-No Derivative Works 3.0 Unported License.";"Creative Commons Attribution-No Derivative Works 3.0 Unported License."
"Creative Commons Attribution-Share Alike 3.0 Unported License.";"Creative Commons Attribution-Share Alike 3.0 Unported License."
"Creative Commons Attribution 3.0 Unported License.";"Creative Commons Attribution 3.0 Unported License."
"This document has been released into the public domain.";"This document has been released into the public domain."
"This document is";"This document is"
"all rights reserved.";"all rights reserved."
"Download";"Download"
"Email as attachment";"Email as attachment"
"Share";"Share"
"Report";"Report"
"Share Document";"Share Document"
"Download Document";"Download Document"
"Email Document";"Email Document"
"Report Document";"Report Document"
"Social Share";"Social Share"

#widgets/profile-eventdocuments/index.tpl
"Add Document";"Add Document"
"Created by %s about %s";"Created by %s about %s"
"Show my documents";"Show my documents"
"Browse by:";"Browse by:"
"Search: ";"Search: "
"Most Recent";"Most Recent"
"Most Rated";"Most Rated"
