"Visit your Insights Page";"Visit your Insights Sayfa"
"Do you want to show the Advertise your Page widget on Page Profile in the Info widget? (This widget will only be visible to page admins and it displays a catchy phrase to tempt them to create an Ad for their Page. It also has a link to Create an Ad. Click %s to preview this widget.)";"Do you want to show the Advertise your Sayfa widget on Sayfa Profile in the Info widget? (This widget will only be visible to sayfa admins and it displays a catchy phrase to tempt them to create an Ad for their Sayfa. It also has a link to Create an Ad. Click %s to preview this widget.)"
"Do you want to show a Sample Ad of a Page on its profile in the Info widget? (This widget will only be visible to page admins and will tempt them to create an Ad for their Page. Click %s to preview this widget.)";"Do you want to show a Sample Ad of a Sayfa on its profile in the Info widget? (This widget will only be visible to sayfa admins and will tempt them to create an Ad for their Sayfa. Click %s to preview this widget.)"
"Do you want to show community ads in the various positions available in this plugin? (Below, you will be able to choose for every individual position. If you do not want to show ads in a particular position, then please enter the value ""0"" for it below.). If you have enabled Packages for Pages from Global Settings, then for each package, you can configure if community ads display should be enabled on their Pages (You can use this to give extra privileges to Pages of special / paid packages by making them free of ads display.).";"Do you want to show community ads in the various positions available in this plugin? (Below, you will be able to choose for every individual position. If you do not want to show ads in a particular position, then please enter the value ""0"" for it below.). If you have enabled Packages for Sayfalar from Global Settings, then for each package, you can configure if community ads display should be enabled on their Sayfalar (You can use this to give extra privileges to Sayfalar of special / 
paid packages by making them free of ads display.)."
"Page Profile Music Widget";"Sayfa Profile Music Widget"
"Page Music View Page";"Sayfa Music View Sayfa"
"Page Music Create Page";"Sayfa Music Create Sayfa"
"Page Music Edit Page";"Sayfa Music Edit Sayfa"
"How many ads will be shown in page profile music widget?";"How many ads will be shown in sayfa profile music widget?"
"How many ads will be shown on a page music view page?";"How many ads will be shown on a sayfa music view sayfa?"
"How many ads will be shown on a page music create page?";"How many ads will be shown on a sayfa music create sayfa?"
"How many ads will be shown on a page music edit page?";"How many ads will be shown on a sayfa music edit sayfa?"
"Search Form Settings";"Search Form Settings"
"Within Miles / Within Kilometers";"Within Miles / Within Kilometers"
"Which activities should be shown in Updates Tab?";"Which activities should be shown in Updates Tab?"
"Upload Music";"Upload Music"
"Add and share music for this page.";"Add and share music for this sayfa."
"Manage Music";"Manage Music"
"Choose your button color.";"Choose your button color."
"Copy the embed code for your Save to foursquare Button.";"Copy the embed code for your Save to foursquare Button."
"Next to your foursquare venue or foursquare tip, you’ll notice a button: &lt;/&gt; , like in the 2 pictures below.";"Next to your foursquare venue or foursquare tip, you’ll notice a button: &lt;/&gt; , like in the 2 pictures below."
"Click on &lt;/&gt;.";"Click on &lt;/&gt;."
"This Button will enable page visitors to add the Page's place or tip to their foursquare To-Do List, if you have entered its code from the Marketing section of the Dashboard. Note that this feature will be available to you based on your Page's Package and your Member Level.";"This Button will enable sayfa visitors to add the Sayfa's place or tip to their foursquare To-Do List, if you have entered its code from the Marketing section of the Dashboard. Note that this feature will be available to you based on your Sayfa's Package and your Member Level."
"We have moved these ""General Settings"" to ""Layout Editor"". You can change the desired settings of the respective widgets from ""Layout Editor"" by clicking on the ""edit"" link.";"We have moved these ""General Settings"" to ""Layout Editor"". You can change the desired settings of the respective widgets from ""Layout Editor"" by clicking on the ""edit"" link."
"This URL has been restricted by our automated system. Please choose another URL.";"This URL has been restricted by our automated system. Please choose another URL."
"For %1$s %2$s";"For %1$s %2$s"
"Do you want all the categories, sub-categories and 3rd level categories to be shown to the users even if they have 0 pages in them? (Note: Selecting ""Yes"" will display all the categories WITHOUT  the count of the pages created in them if ""Browse by Networks"" are enabled  from the Global Settings of Directory / Pages Plugin and display all the categories with count if selected ""No"" for Browse by Networks. While selecting ""No"" here will display categories with count of the pages.)";"Do you want all the categories, sub-categories and 3rd level categories to be shown to the users even if they have 0 sayfalar in them? (Note: Selecting ""Yes"" will display all the categories WITHOUT  the count of the sayfalar created in them if ""Browse by Networks"" are enabled  from the Global Settings of Directory / Sayfalar Plugin and display all the categories with count if selected ""No"" for Browse by Networks. While selecting ""No"" here will display categories with count of the sayfalar.)"
"For %s %s";"For %s %s"
"year";"year"
"years";"years"
"month";"month"
"months";"months"
"week";"week"
"weeks";"weeks"
"day";"day"
"days";"days"
"_EMAIL_SITEPAGE_CLAIMOWNER_EMAIL_TITLE";"Sayfa Claimed"
"_EMAIL_SITEPAGE_CLAIMOWNER_EMAIL_DESCRIPTION";"This mail is sent to the Site Admin when any member claims that Sayfa."
"_EMAIL_SITEPAGE_CLAIMOWNER_EMAIL_SUBJECT";"This Sayfa: [page_title] has been claimed."
"_EMAIL_SITEPAGE_CLAIMOWNER_EMAIL_BODY";"[header]

This sayfa: [page_title_with_link] has been claimed.

To view this sayfa, click on the link below, or copy-paste it in your browser:
[object_link]

[footer]
"
"ADMIN_ACTIVITY_TYPE_SITEPAGE_ADMIN_TOPIC_REPLY";"When sayfa admin replies to a sayfa topic."
"_ACTIVITY_ACTIONTYPE_SITEPAGE_ADMIN_TOPIC_REPLY";"When sayfa admin replies to a sayfa topic."
"Please do not leave this page until the process is completed successfully or an error occurs.";"Please do not leave this sayfa until the process is completed successfully or an error occurs."
"Featured & Sponsored Markers";"Featured & Sponsored Markers"
"Using Labels (See FAQ for customizing the labels)";"Using Labels (See FAQ for customizing the labels)"
"Using Icons (See FAQ for customizing the icons)";"Using Icons (See FAQ for customizing the icons)"
"sitepage_page";"sayfa"
"ACTIVITY_TYPE_SITEPAGE_TAGGED";"When my sayfa is tagged."
"Edit Tab Settings";"Edit Tab Settings"
"Tab Title";"Tab Title"
"No. of Items";"No. of Items"
"How many items will be shown in this tab (value can not be empty or zero) ?";"How many items will be shown in this tab (value can not be empty or zero) ?"
"Page of the day";"Sayfa of the day"
"Display this tab";"Display this tab"
"Below you can choose the tabs and their sequence for this widget. To adjust the sequence, use drag-and-drop and then click on 'Save Order' to save it. If you do not see this widget at the desired location then make sure that you have placed this from the Layout Editor and that you have enabled atleast one tab for it.";"Below you can choose the tabs and their sequence for this widget. To adjust the sequence, use drag-and-drop and then click on 'Save Order' to save it. If you do not see this widget at the desired location then make sure that you have placed this from the Layout Editor and that you have enabled atleast one tab for it."
"Show ""View More"" link";"Show ""View More"" link"
"Horizontal Margin between Elements";"Horizontal Margin between Elements"
"(Horizontal margin in px between consecutive elements in this widget. You might want to change this value if the content of this widget is not coming properly on your site because of the column width in your theme.)";"(Horizontal margin in px between consecutive elements in this widget. You might want to change this value if the content of this widget is not coming properly on your site because of the column width in your theme.)"
"Add Item";"Add Item"
" results found";" results found"
" - created by ";" - created by "
"by ";"by "
"Page Category";"Sayfa Category"
"(number of items to show)";"(number of items to show)"
"Carousel Type";"Carousel Type"
"Horizontal";"Horizontal"
"Vertical";"Vertical"
"Rows";"Rows"
"(number of rows in one view)";"(number of rows in one view)"
"Speed";"Speed"
"(transition interval between two slides in millisecs)";"(transition interval between two slides in millisecs)"
" and if your page has %1s or more likes URL will be: <br /> <span id=""short_page_url_address"">http://%2s</span>";" and if your sayfa has %1s or more likes URL will be: <br /> <span id=""short_page_url_address"">http://%2s</span>"
"By linking your Page to your Facebook Page, updates from your Page will also be published on your Facebook Page. Additionally, the Facebook Like Box for your Facebook Page will be displayed on your Page, thus enabling you to gain Likes for your Facebook Page from this website. This Like Box will also:<br /><br /><ol style='margin-left: 20px;'><li> Show the recent posts from your Facebook Page.</li><li>Show how many people already like your Facebook Page.</li> <li>Enable people to Like your Facebook Page.</li></ol><br /> <br /> Enter the URL of your Facebook Page below to link it with this Page.";"By linking your Sayfa to your Facebook Sayfa, updates from your Sayfa will also be published on your Facebook Sayfa. Additionally, the Facebook Like Box for your Facebook Sayfa will be displayed on your Sayfa, thus enabling you to gain Likes for your Facebook Sayfa from this website. This Like Box will also:<br /><br /><ol style='margin-left: 20px;'><li> Show the recent posts from your Facebook Sayfa.</li><li>Show how many 
people already like your Facebook Sayfa.</li> <li>Enable people to Like your Facebook Sayfa.</li></ol><br /> <br /> Enter the URL of your Facebook Sayfa below to link it with this Sayfa."
"By linking your Page to your Facebook Page, Facebook Like Box for your Facebook Page will be displayed on your Page, thus enabling you to gain Likes for your Facebook Page from this website. This Like Box will also:<br /><br /><ol style='margin-left: 20px;'><li> Show the recent posts from your Facebook Page.</li><li>Show how many people already like your Facebook Page.</li> <li>Enable people to Like your Facebook Page.</li></ol><br /> <br /> Enter the URL of your Facebook Page below to link it with this Page.";"By linking your Sayfa to your Facebook Sayfa, Facebook Like Box for your Facebook Sayfa will be displayed on your Sayfa, thus enabling you to gain Likes for your Facebook Sayfa from this website. This Like Box will also:<br /><br /><ol style='margin-left: 20px;'><li> Show the recent posts from your Facebook Sayfa.</li><li>Show how many people already like your Facebook Sayfa.</li> <li>Enable people to Like your Facebook Sayfa.</li></ol><br /> <br /> Enter the URL of your Facebook Sayfa below to link it with 
this Sayfa."
"By linking your Page to your Facebook Page, updates from your Page will also be published on your Facebook Page. <br /> <br /> Enter the URL of your Facebook Page below to link it with this Page.";"By linking your Sayfa to your Facebook Sayfa, updates from your Sayfa will also be published on your Facebook Sayfa. <br /> <br /> Enter the URL of your Facebook Sayfa below to link it with this Sayfa."
"Your Facebook Page has been successfully linked.";"Your Facebook Sayfa has been successfully linked."
"You have not liked any pages yet. %s and Like the pages you like.";"You have not liked any sayfalar yet. %s and Like the sayfalar you like."
"Advanced search";"Advanced search"
"Enter a location";"Enter a location"
"_EMAIL_SITEPAGE_POSTNOTIFICATION_EMAIL_TITLE";"Member Post in Sayfa Email Notification"
"_EMAIL_SITEPAGE_POSTNOTIFICATION_EMAIL_DESCRIPTION";"This email goes to the owner and sayfa admin of the Sayfa when member post something on the sayfa."
"_EMAIL_SITEPAGE_POSTNOTIFICATION_EMAIL_SUBJECT";"[[page_title]] New Post: [post_body_body]"
"_EMAIL_SITEPAGE_POSTNOTIFICATION_EMAIL_BODY";"
[header]

[body_content]

[footer]
"
"(Enter keywords or Page name)";"(Enter keywords or Sayfa name)"
"Pages I've Joined";"Sayfalar I've Joined"
"Explore pages";"Explore sayfalar"
"Promote this Page on your external blogs or websites";"Promote this Sayfa on your external blogs or websites"
"Attract people to your Page and gain popularity by using attractive embeddable badge of your Page which can be shared across the web.";"Attract people to your Sayfa and gain popularity by using attractive embeddable badge of your Sayfa which can be shared across the web."
"Link to your Page";"Link to your Sayfa"
"Make Page Cover";"Make Sayfa Cover"
"This will be the end of your page URL. It should be indicative of the title and can contain alphabets, numbers, underscores and  dashes only. Its length should be in the range of 3-255 characters. The complete URL of your page will be: %s";"This will be the end of your sayfa URL. It should be indicative of the title and can contain alphabets, numbers, underscores and  dashes only. Its length should be in the range of 3-255 characters. The complete URL of your sayfa will be: %s"
"<br />and if your page has %1$s or more likes URL will be: <br />%2$s";"<br />and if your sayfa has %1$s or more likes URL will be: <br />%2$s"
"SOCIAL SHARE";"SOCIAL SHARE"
"Page Name";"Sayfa Name"
"PAGE";"SAYFA";"SAYFALAR"
"PAGE_NAVIGATION_NAME";"Sayfalar"
"VIEW_PAGE";"View Sayfa"
"Explore Tags &raquo;";"Explore Tags &raquo;"
"%s review";"%s review";"%s reviews"
"Like this review if you find it useful.";"Like this review if you find it useful."
"Ratings";"Ratings"
"%s Like";"%s Like";"%s Likes"
"%s Comment";"%s Comment";"%s Comments"
"%s View";"%s View";"%s Views"
"Owners";"Owners"
"Make Album of the Day";"Make Album of the Day"
"INFORMATION";"INFORMATION"
"OWNERS";"OWNERS"
"Page Cover";"Sayfa Cover"
"Get Directions";"Get Directions"
"Total %s Review";"Total %s Review";"Total %s Reviews"
"approximately %s kilometers";"approximately %s kilometers"
"approximately %s miles";"approximately %s miles"
"Browse Pages";"Browse Sayfalar"
"{item:$subject} has joined you in page {item:$object}.";"{item:$subject} has joined you in sayfa {item:$object}."
"{item:$subject} joined the page {item:$object}:";"{item:$subject} joined the sayfa {item:$object}:"
"{item:$subject} has requested to join the page {item:$object}.";"{item:$subject} has requested to join the sayfa {item:$object}."
"{item:$subject} posted in {item:$object}.";"{item:$subject} posted in {item:$object}."
"{item:$subject} is following {item:$object}.";"{item:$subject} is following {item:$object}."
"{item:$subject} has commented on {var:$eventname}.";"{item:$subject} has commented on {var:$eventname}."
"{item:$subject} has liked {var:$eventname}.";"{item:$subject} has liked {var:$eventname}."
"ADMIN_ACTIVITY_TYPE_FOLLOW_SITEPAGE_PAGE";"When someone follow the sayfa."
"Page Profile Follow Button for Pages";"Sayfa Profile Follow Button for Sayfalar"
"Page Profile Like Button for Pages";"Sayfa Profile Like Button for Sayfalar"
"Total <b>%s</b> Review";"Total <b>%s</b> Review";"Total <b>%s</b> Reviews"
"Page Album";"Sayfa Album"
"Page Video";"Sayfa Video"
"Page Document";"Sayfa Document"
"Page Poll";"Sayfa Poll"
"Page Note";"Sayfa Note"
"Page Review";"Sayfa Review"
"Page Event";"Sayfa Event"
"Page Albums";"Sayfa Albums"
"Page Videos";"Sayfa Videos"
"Page Documents";"Sayfa Documents"
"Page Polls";"Sayfa Polls"
"Page Notes";"Sayfa Notes"
"Page Reviews";"Sayfa Reviews"
"Page Events";"Sayfa Events"
"Page Music";"Sayfa Music"
"Page Photos";"Sayfa Photos"
"Page Album Photos";"Sayfa Album Photos"
"View Page Album";"View Sayfa Album"
"View Page Event";"View Sayfa Event"
"View Page Video";"View Sayfa Video"
"View Page Poll";"View Sayfa Poll"
"View Page Review";"View Sayfa Review"
"View Page Note";"View Sayfa Note"
"View Page Album Photos";"View Sayfa Album Photos"
"View Page Music";"View Sayfa Music"
"View Page Document";"View Sayfa Document"
"_ACTIVITY_ACTIONTYPE_LIKE_SITEPAGE_PHOTO";"When I liked the sayfa photo"
"_ACTIVITY_ACTIONTYPE_LIKE_SITEPAGE_ALBUM";"When I liked the sayfa album"
"_ACTIVITY_ACTIONTYPE_LIKE_SITEPAGEPOLL_POLL";"When I liked the sayfa poll"
"_ACTIVITY_ACTIONTYPE_LIKE_SITEPAGENOTE_NOTE";"When I liked the sayfa note"
"_ACTIVITY_ACTIONTYPE_LIKE_SITEPAGEEVENT_PHOTO";"When I liked the sayfa event photo"
"_ACTIVITY_ACTIONTYPE_LIKE_SITEPAGENOTE_PHOTO";"When I liked the sayfa note photo"
"_ACTIVITY_ACTIONTYPE_LIKE_SITEPAGEDOCUMENT_DOCUMENT";"When I liked the sayfa document"
"_ACTIVITY_ACTIONTYPE_LIKE_SITEPAGEEVENT_EVENT";"When I liked the sayfa event"
"_ACTIVITY_ACTIONTYPE_LIKE_SITEPAGEMUSIC_PLAYLIST";"When I liked the sayfa music"
"_ACTIVITY_ACTIONTYPE_LIKE_SITEPAGEREVIEW_REVIEW";"When I liked the sayfa review"
"_ACTIVITY_ACTIONTYPE_LIKE_SITEPAGEVIDEO_VIDEO";"When I liked the sayfa video"
"_ACTIVITY_ACTIONTYPE_LIKE_SITEPAGE_PAGE";"When I liked the sayfa"
"ADMIN_ACTIVITY_TYPE_LIKE_SITEPAGE_PHOTO";"When someone like the sayfa photo."
"ADMIN_ACTIVITY_TYPE_LIKE_SITEPAGE_ALBUM";"When someone like the sayfa album."
"ADMIN_ACTIVITY_TYPE_LIKE_SITEPAGEPOLL_POLL";"When someone like the sayfa poll."
"ADMIN_ACTIVITY_TYPE_LIKE_SITEPAGENOTE_NOTE";"When someone like the sayfa note."
"ADMIN_ACTIVITY_TYPE_LIKE_SITEPAGEEVENT_PHOTO";"When someone like the sayfa event photo."
"ADMIN_ACTIVITY_TYPE_LIKE_SITEPAGENOTE_PHOTO";"When someone like the sayfa note photo."
"ADMIN_ACTIVITY_TYPE_LIKE_SITEPAGEDOCUMENT_DOCUMENT";"When someone like the sayfa document."
"ADMIN_ACTIVITY_TYPE_LIKE_SITEPAGEEVENT_EVENT";"When someone like the sayfa event."
"ADMIN_ACTIVITY_TYPE_LIKE_SITEPAGEMUSIC_PLAYLIST";"When someone like the sayfa music."
"ADMIN_ACTIVITY_TYPE_LIKE_SITEPAGEREVIEW_REVIEW";"When someone like the sayfa review."
"ADMIN_ACTIVITY_TYPE_LIKE_SITEPAGEVIDEO_VIDEO";"When someone like the sayfa video."
"ADMIN_ACTIVITY_TYPE_LIKE_SITEPAGE_PAGE";"When someone like the sayfa."
"{item:$subject} likes the page {item:$object}:";"{item:$subject} likes the sayfa {item:$object}:"
"{item:$subject} likes the page album {item:$object}:";"{item:$subject} likes the sayfa album {item:$object}:"
"{item:$subject} likes the page photo {item:$object}:";"{item:$subject} likes the sayfa photo {item:$object}:"
"{item:$subject} likes the page review {item:$object}:";"{item:$subject} likes the sayfa review {item:$object}:"
"{item:$subject} likes the page poll {item:$object}:";"{item:$subject} likes the sayfa poll {item:$object}:"
"{item:$subject} likes the page video {item:$object}:";"{item:$subject} likes the sayfa video {item:$object}:"
"{item:$subject} likes the page note {item:$object}:";"{item:$subject} likes the sayfa note {item:$object}:"
"{item:$subject} likes the page note photo {item:$object}:";"{item:$subject} likes the sayfa note photo {item:$object}:"
"{item:$subject} likes the page album photo {item:$object}:";"{item:$subject} likes the sayfa album photo {item:$object}:"
"{item:$subject} likes the page playlist {item:$object}:";"{item:$subject} likes the sayfa playlist {item:$object}:"
"{item:$subject} likes the page document {item:$object}:";"{item:$subject} likes the sayfa document {item:$object}:"
"{item:$subject} likes the page event {item:$object}:";"{item:$subject} likes the sayfa event {item:$object}:"
"{item:$subject} likes the page music {item:$object}:";"{item:$subject} likes the sayfa music {item:$object}:"
"{item:$subject} changed their page cover photo.";"{item:$subject} changed their sayfa cover photo."
"{item:$object} changed page cover photo.";"{item:$object} changed sayfa cover photo."
"Most Followed Pages";"Most Followed Sayfalar"
"Most Joined Pages";"Most Joined Sayfalar"
"Most Liked Pages";"Most Liked Sayfalar"
"Most Commented Pages";"Most Commented Sayfalar"
"Page Title";"Sayfa Title"
"No, only page admins can invite other people.";"No, only sayfa admins can invite other people."
"Joined Pages";"Joined Sayfalar"
"Below, you can manage various notification settings that receive when people do some activities on your page.";"Below, you can manage various notification settings that receive when people do some activities on your sayfa."
"Send notifications to my mail when people post an update, or create various contents on my page.";"Send notifications to my mail when people post an update, or create various contents on my sayfa."
"Send notification updates when people do various actions on my page.";"Send notification updates when people do various actions on my sayfa."
"Update posts on my page";"Update posts on my sayfa"
"Create various contents on my page";"Create various contents on my sayfa"
"Comments on my page";"Comments on my sayfa"
"Likes my page";"Likes my sayfa"
"Follows my page";"Follows my sayfa"
"Below you can see all the member roles added by you and our site administrators, which members of your page can choose. You can also add new member roles and delete them. Note that you can only delete the roles created by you.";"Below you can see all the member roles added by you and our site administrators, which members of your sayfa can choose. You can also add new member roles and delete them. Note that you can only delete the roles created by you."
"{item:$subject} updated cover photo of the page {item:$object}:";"{item:$subject} updated cover photo of the sayfa {item:$object}:"
"{item:$object} updated a new cover photo.";"{item:$object} updated a new cover photo."
"ADMIN_ACTIVITY_TYPE_SITEPAGE_ADMIN_COVER_UPDATE";"When sayfa admins update cover photo of their sayfalar."
"ADMIN_ACTIVITY_TYPE_SITEPAGE_COVER_UPDATE";"When sayfa admins update cover photo of their sayfalar."
"_ACTIVITY_ACTIONTYPE_SITEPAGE_COVER_UPDATE";"Update a sayfa cover photo."
"_ACTIVITY_ACTIONTYPE_SITEPAGE_ADMIN_COVER_UPDATE";"Update a sayfa cover photo by sayfa admin."
"MEDIA_TYPE_SITEPAGE_PAGE";"sayfa"
"ACTIVITY_TYPE_FOLLOW_SITEPAGE_PAGE";"When people follow my sayfa."
"ACTIVITY_TYPE_SITEPAGE_ACTIVITYCOMMENT";"When people comment on activity I post on my sayfa."
"ACTIVITY_TYPE_SITEPAGE_ACTIVITYLIKE";"When people like on activity I post on my sayfa."
"ACTIVITY_TYPE_SITEPAGE_CONTENTCOMMENT";"When people comment on  my content I post on my sayfa."
"ACTIVITY_TYPE_SITEPAGE_CONTENTLIKE";"When people like on  my content I post on my sayfa."
"ACTIVITY_TYPE_SITEPAGE_NOTIFICATIONPOST";"When people post on my sayfa."
"ACTIVITY_TYPE_SITEPAGEMEMBER_ACCEPTED";"When someone accepts my sayfa request."
"ACTIVITY_TYPE_SITEPAGEMEMBER_APPROVE";"When my request to attend an event is approved."
"ACTIVITY_TYPE_SITEPAGEMEMBER_INVITE";"When I'm invited to attend an sayfa event."
"ACTIVITY_TYPE_SITEPAGEMEMBER_NOTIFICATIONPOST";"When someone post on my sayfa."
"ACTIVITY_TYPE_SITEPAGE_ADDMEMBER";"When someone has joined you in sayfa."
"ACTIVITY_TYPE_SITEPAGE_JOIN";"When someone join my sayfa."
"ACTIVITY_TYPE_SITEPAGEALBUM_CREATE";"When a user create an sayfa album on my sayfa."
"ACTIVITY_TYPE_SITEPAGEDOCUMENT_CREATE";"When a user create an sayfa document on my sayfa."
"ACTIVITY_TYPE_SITEPAGEEVENT_CREATE";"When a user create an sayfa event on my sayfa."
"ACTIVITY_TYPE_SITEPAGEMUSIC_CREATE";"When a user create an sayfa music on my sayfa."
"ACTIVITY_TYPE_SITEPAGENOTE_CREATE";"When a user create an sayfa note on my sayfa."
"ACTIVITY_TYPE_SITEPAGEPOLL_CREATE";"When a user create an sayfa poll on my sayfa."
"ACTIVITY_TYPE_SITEPAGEREVIEW_CREATE";"When a user create an sayfa review on my sayfa."
"ACTIVITY_TYPE_SITEPAGEVIDEO_CREATE";"When a user create an sayfa video on my sayfa."
"_ACTIVITY_ACTIONTYPE_FOLLOW_SITEPAGE_PAGE";"When I follow the sayfa."
"Below, you can manage multiple locations for your page. You can add a new location and delete any existing one.";"Below, you can manage multiple locations for your sayfa. You can add a new location and delete any existing one."
"Are you sure that you want to remove this location form this page?";"Are you sure that you want to remove this location form this sayfa?"
"Below, you can manage the announcements for your page. Announcements are shown on the page profile.";"Below, you can manage the announcements for your sayfa. Announcements are shown on the sayfa profile."
"BACK_TO_PAGEPLUGIN_ADMIN_PANEL";"Back to Directory / Sayfalar Plugin"
"All Page Members";"All Sayfa Members"
"BACK_TO_MANAGEEXTENSION_ADMIN_PANEL";"Lists Of Extensions"
"_EMAIL_SITEPAGE_EMAILME_EMAIL_TITLE";"Sayfa Email Me"
"_EMAIL_SITEPAGE_EMAILME_EMAIL_DESCRIPTION";"This email sent to Sayfa when a user contacts the Sayfa."
"_EMAIL_SITEPAGE_EMAILME_EMAIL_SUBJECT";"[sender_name] has contacted your Sayfa"
"_EMAIL_SITEPAGE_EMAILME_EMAIL_BODY";"[header]

[sender_name] with email id: [sender_email] has contacted your Sayfa: [page_title].

This user has also sent a message:

[message]

[footer]"
"mobilepagetitle-sitepage-index-sitemobile-index";"Browse Sayfalar"
"mobilepagetitle-sitepage-manage-sitemobile-index";"My Sayfalar"
"mobilepagetitle-sitepage-mylikes-sitemobile-like ";"Sayfalar I Like"
"mobilepagetitle-sitepage-my-pages-sitemobile-manageadmin";"Sayfalar I Admin"
"mobilepagetitle-sitepage-my-joined-sitemobile-like";"Sayfalar I've Joined"
"%s page found.";"%s sayfalar found.";"%s sayfalar found."
"Use the layout editor given below to configure the content which appears on main profile of your Page. You can drag and drop the colored ""blocks"" to arrange the content in the way you want them to appear at profile page. Drag blocks from or to the ""Available Blocks"" area to add or remove them from your page. Use ""HTML Block"" if you want to drop in raw HTML or other content.";"Use the layout editor given below to configure the content which appears on main profile of your Sayfa. You can drag and drop the colored ""blocks"" to arrange the content in the way you want them to appear at profile sayfa. Drag blocks from or to the ""Available Blocks"" area to add or remove them from your sayfa. Use ""HTML Block"" if you want to drop in raw HTML or other content."
"Note: Some blocks won\'t appear if their corresponding apps or features are not available in your page\'s package.";"Note: Some blocks won\'t appear if their corresponding apps or features are not available in your sayfa\'s package."
"Note: Some blocks won\'t appear if their corresponding apps or features are not available to your member level.";"Note: Some blocks won\'t appear if their corresponding apps or features are not available to your member level."
"Reset Layout of your Page?";"Reset Layout of your Sayfa?"
"Are you sure you want to reset the layout of this page? If you click Continue"", then you will be able to edit the layout of your page according to you.""";"Are you sure you want to reset the layout of this sayfa? If you click Continue"", then you will be able to edit the layout of your sayfa according to you."""
"Layout for this page has been changed successfully.";"Layout for this sayfa has been changed successfully."
"Below is the default layout which has been set by the site admin for all the pages. If you want to modify anything in this layout or want to add / remove any blocks on your page, then please %1$sClick here%2$s.";"Below is the default layout which has been set by the site admin for all the sayfalar. If you want to modify anything in this layout or want to add / remove any blocks on your sayfa, then please %1$sClick here%2$s."
"What will members be called?";"What will members be called?"
"Ex: Dance Lovers, Hikers, Innovators, Music Lovers, etc.";"Ex: Dance Lovers, Hikers, Innovators, Music Lovers, etc."
"Discussion Topic Post Privacy";"Discussion Topic Post Privacy"
"Who may post discussion topics for this page?";"Who may post discussion topics for this sayfa?"
"Manage Notifications";"Manage Notifications"
"Email Notifications";"Email Notifications"
"Site Notifications";"Site Notifications"
"Manage Member Roles";"Manage Member Roles"
"Enter the member role name.";"Enter the member role name."
"Add Member Role";"Add Member Role"
"Sub Pages of a Page";"Sub Sayfalar of a Sayfa"
"Displays the sub pages created in the Page which is being viewed currently. This widget should be placed on the Page Profile page.";"Displays the sub sayfalar created in the Sayfa which is being viewed currently. This widget should be placed on the Sayfa Profile sayfa."
"Parent Page of a Sub Page";"Parent Sayfa of a Sub Sayfa"
"Displays the parent page in which the currently viewed sub pages is created. This widget should be placed on the Page Profile page.";"Displays the parent sayfa in which the currently viewed sub sayfalar is created. This widget should be placed on the Sayfa Profile sayfa."
"Page Profile Breadcrumb";"Sayfa Profile Breadcrumb"
"Displays breadcrumb of the page based on the categories. This widget should be placed on the Page Profile page.";"Displays breadcrumb of the sayfa based on the categories. This widget should be placed on the Sayfa Profile sayfa."
"Page Profile 'Save to foursquare' Button";"Sayfa Profile 'Save to foursquare' Button"
"This Button will enable Page visitors to add the Page's place or tip to their foursquare To-Do List. Note that this feature will be available to you based on your Page's Package and your Member Level.";"This Button will enable Sayfa visitors to add the Sayfa's place or tip to their foursquare To-Do List. Note that this feature will be available to you based on your Sayfa's Package and your Member Level."
"Page Profile Social Share Buttons";"Sayfa Profile Social Share Buttons"
"Contains Social Sharing buttons and enables users to easily share Pages on their favorite Social Networks. You can personalize the code for social sharing buttons by adding your own code generated from: <a href='http://www.addthis.com' target='_blank'>http://www.addthis.com</a>";"Contains Social Sharing buttons and enables users to easily share Sayfalar on their favorite Social Networks. You can personalize the code for social sharing buttons by adding your own code generated from: <a href='http://www.addthis.com' target='_blank'>http://www.addthis.com</a>"
"Page Profile Title";"Sayfa Profile Title"
"Displays the Title of the Page. This widget should be placed on the Page Profile, in the middle column at the top.";"Displays the Title of the Sayfa. This widget should be placed on the Sayfa Profile, in the middle column at the top."
"Page Profile Info";"Sayfa Profile Info"
"This widget forms the Info tab on the Page Profile and displays the information of the Page. It should be placed in the Tabbed Blocks area of the Page Profile. You may enter content for this section from the Edit Info and Profile Info sections of the Page Dashboard.";"This widget forms the Info tab on the Sayfa Profile and displays the information of the Sayfa. It should be placed in the Tabbed Blocks area of the Sayfa Profile. You may enter content for this section from the Edit Info and Profile Info sections of the Sayfa Dashboard."
"Page Profile Information Page";"Sayfa Profile Information Sayfa"
"Displays the owner, category, tags, views and other information about a Page. This widget should be placed on the Page Profile in the left column.";"Displays the owner, category, tags, views and other information about a Sayfa. This widget should be placed on the Sayfa Profile in the left column."
"Page Profile Photo";"Sayfa Profile Photo"
"Displays the main cover photo of a Page. This widget must be placed on the Page Profile at the top of left column.";"Displays the main cover photo of a Sayfa. This widget must be placed on the Sayfa Profile at the top of left column."
"Page Profile Map";"Sayfa Profile Map"
